1528,nebulas-token,Nebulas Token,2018-01-15 20:40:27.583,NAS
1529,particl,Particl,2018-01-15 20:40:27.583,PART
1530,iconomi,Iconomi,2018-01-15 20:40:27.587,ICN
1531,tenx,Tenx,2018-01-15 20:40:27.587,PAY
1532,bancor,Bancor,2018-01-15 20:40:27.587,BNT
1533,gnosis-gno,Gnosis Gno,2018-01-15 20:40:27.587,GNO
1534,zcoin,Zcoin,2018-01-15 20:40:27.587,XZC
1535,civic,Civic,2018-01-15 20:40:27.587,CVC
1536,aelf,Aelf,2018-01-15 20:40:27.587,ELF
1537,bitcore,Bitcore,2018-01-15 20:40:27.587,BTX
1538,digitalnote,Digitalnote,2018-01-15 20:40:27.587,XDN
1539,cobinhood,Cobinhood,2018-01-15 20:40:27.590,COB
1540,chainlink,Chainlink,2018-01-15 20:40:27.590,LINK
1541,emercoin,Emercoin,2018-01-15 20:40:27.590,EMC
1542,bitcoindark,Bitcoindark,2018-01-15 20:40:27.590,BTCD
1543,raiden-network-token,Raiden Network Token,2018-01-15 20:40:27.590,RDN
1544,paccoin,Paccoin,2018-01-15 20:40:27.590,PAC
1545,xplay,Xplay,2018-01-15 20:40:27.590,XPA
1546,quantstamp,Quantstamp,2018-01-15 20:40:27.590,QSP
1547,neblio,Neblio,2018-01-15 20:40:27.590,NEBL
1548,santiment,Santiment,2018-01-15 20:40:27.590,SAN
1549,cryptonex,Cryptonex,2018-01-15 20:40:27.590,CNX
1550,blockv,Blockv,2018-01-15 20:40:27.590,VEE
1551,storm,Storm,2018-01-15 20:40:27.593,STORM
1552,rlc,Rlc,2018-01-15 20:40:27.593,RLC
1553,pillar,Pillar,2018-01-15 20:40:27.593,PLR
1554,skycoin,Skycoin,2018-01-15 20:40:27.593,SKY
1555,storj,Storj,2018-01-15 20:40:27.593,STORJ
1556,nav-coin,Nav Coin,2018-01-15 20:40:27.593,NAV
1557,vertcoin,Vertcoin,2018-01-15 20:40:27.593,VTC
1558,poet,Poet,2018-01-15 20:40:27.593,POE
1559,blocknet,Blocknet,2018-01-15 20:40:27.593,BLOCK
1560,appcoins,Appcoins,2018-01-15 20:40:27.593,APPC
1561,edgeless,Edgeless,2018-01-15 20:40:27.593,EDG
1562,bridgecoin,Bridgecoin,2018-01-15 20:40:27.597,BCO
1563,dew,Dew,2018-01-15 20:40:27.597,DEW
1564,paypie,Paypie,2018-01-15 20:40:27.597,PPP
1565,enjin-coin,Enjin Coin,2018-01-15 20:40:27.597,ENJ
1566,red-pulse,Red Pulse,2018-01-15 20:40:27.597,RPX
1567,monaco,Monaco,2018-01-15 20:40:27.597,MCO
1568,ethlend,Ethlend,2018-01-15 20:40:27.597,LEND
1569,revain,Revain,2018-01-15 20:40:27.597,R
1570,vibe,Vibe,2018-01-15 20:40:27.597,VIBE
1571,time-new-bank,Time New Bank,2018-01-15 20:40:27.597,TNB
1572,aragon,Aragon,2018-01-15 20:40:27.600,ANT
1573,ubiq,Ubiq,2018-01-15 20:40:27.600,UBQ
1574,singulardtv,Singulardtv,2018-01-15 20:40:27.600,SNGLS
1575,xtrabytes,Xtrabytes,2018-01-15 20:40:27.600,XBY
1576,sirin-labs-token,Sirin Labs Token,2018-01-15 20:40:27.600,SRN
1577,deepbrain-chain,Deepbrain Chain,2018-01-15 20:40:27.600,DBC
1578,achain,Achain,2018-01-15 20:40:27.600,ACT
